Name,Desc,Runs,Balls,Minutes,Fours,Sixes,Strike_Rate,Batting_Position,Match_Id
Avishka Fernando,c Rashid b Wood,49,39,50,6,2,125.64,3,1144509
Kusal Mendis,c Morgan b Rashid,46,68,110,2,0,67.65,4,1144509
Angelo Mathews,not out,85,115,146,5,1,73.91,5,1144509
Jeevan Mendis,c & b Rashid,0,1,2,0,0,0,6,1144509
Dhananjaya de Silva,c Root b Archer,29,47,48,1,0,61.7,7,1144509
Thisara Perera,c Rashid b Archer,2,6,12,0,0,33.33,8,1144509
Isuru Udana,c Root b Wood,6,4,7,1,0,150,9,1144509
Lasith Malinga,b Wood,1,5,9,0,0,20,10,1144509
Nuwan Pradeep,not out,1,1,8,0,0,100,11,1144509
Dimuth Karunaratne,c du Plessis b Rabada,0,1,3,0,0,0,1,1144517
Kusal Perera,b Pretorius,30,34,58,4,0,88.24,2,1144517
Avishka Fernando,c du Plessis b Pretorius,30,29,46,4,0,103.45,3,1144517
Kusal Mendis,c Morris b Pretorius,23,51,75,2,0,45.1,4,1144517
Angelo Mathews,b Morris,11,29,48,1,0,37.93,5,1144517
Dhananjaya de Silva,b Duminy,24,41,54,2,0,58.54,6,1144517
Jeevan Mendis,c Pretorius b Morris,18,46,54,1,1,39.13,7,1144517
Thisara Perera,c Rabada b Phehlukwayo,21,25,41,0,0,84,8,1144517
Isuru Udana,c & b Rabada,17,32,40,1,0,53.13,9,1144517
Suranga Lakmal,not out,5,7,23,0,0,71.43,10,1144517
Lasith Malinga,c du Plessis b Morris,4,2,7,1,0,200,11,1144517
Dimuth Karunaratne,c †Hope b Holder,32,48,69,4,0,66.67,1,1144521
Kusal Perera,run out (Cottrell/Brathwaite),64,51,87,8,0,125.49,2,1144521
Avishka Fernando,c Allen b Cottrell,104,103,151,9,2,100.97,3,1144521
Kusal Mendis,c & b Allen,39,41,53,4,0,95.12,4,1144521
Angelo Mathews,b Holder,26,20,45,2,1,130,5,1144521
Lahiru Thirimanne,not out,45,33,53,4,0,136.36,6,1144521
Isuru Udana,c Holder b Thomas,3,6,9,0,0,50,7,1144521
Dhananjaya de Silva,not out,6,3,5,1,0,200,8,1144521
Dimuth Karunaratne,c †Dhoni b Bumrah,10,17,16,2,0,58.82,1,1144526
Kusal Perera,c †Dhoni b Bumrah,18,14,36,3,0,128.57,2,1144526
Avishka Fernando,c †Dhoni b Pandya,20,21,42,4,0,95.24,3,1144526
Kusal Mendis,st †Dhoni b Jadeja,3,13,15,0,0,23.08,4,1144526
Angelo Mathews,c Sharma b Bumrah,113,128,157,10,2,88.28,5,1144526
Lahiru Thirimanne,c Jadeja b Kuldeep Yadav,53,68,102,4,0,77.94,6,1144526
Dhananjaya de Silva,not out,29,36,60,1,0,80.56,7,1144526
Thisara Perera,c Pandya b Kumar,2,3,8,0,0,66.67,8,1144526
Isuru Udana,not out,1,1,3,0,0,100,9,1144526
Avishka Fernando,c Soumya Sarkar b Shafiul Islam,7,13,-,0,0,53.85,1,1193504
Dimuth Karunaratne,c Mustafizur Rahman b Mehidy Hasan Miraz,36,37,-,4,0,97.3,2,1193504
Kusal Perera,c Mustafizur Rahman b Soumya Sarkar,111,99,-,17,1,112.12,3,1193504
Kusal Mendis,c †Mushfiqur Rahim b Rubel Hossain,43,49,-,4,0,87.76,4,1193504
Angelo Mathews,c Sabbir Rahman b Mustafizur Rahman,48,52,-,3,0,92.31,5,1193504
Lahiru Thirimanne,c Soumya Sarkar b Mustafizur Rahman,25,30,-,1,0,83.33,6,1193504
Thisara Perera,c Soumya Sarkar b Shafiul Islam,2,3,-,0,0,66.67,7,1193504
Dhananjaya de Silva,c Sabbir Rahman b Shafiul Islam,18,12,-,3,0,150,8,1193504
Lasith Malinga,not out,6,6,-,0,0,100,9,1193504
Nuwan Pradeep,not out,0,0,-,0,0,0,10,1193504
Avishka Fernando,c Tamim Iqbal b Mustafizur Rahman,82,75,-,9,2,109.33,1,1193505
Dimuth Karunaratne,b Mehidy Hasan Miraz,15,29,-,1,0,51.72,2,1193505
Kusal Perera,c Soumya Sarkar b Mustafizur Rahman,30,34,-,3,0,88.24,3,1193505
Kusal Mendis,not out,41,74,-,4,0,55.41,4,1193505
Angelo Mathews,not out,52,57,-,7,0,91.23,5,1193505
Avishka Fernando,lbw b Shafiul Islam,6,14,-,0,0,42.86,1,1193506
Dimuth Karunaratne,c †Mushfiqur Rahim b Taijul Islam,46,60,-,6,0,76.67,2,1193506
Kusal Perera,c †Mushfiqur Rahim b Rubel Hossain,42,51,-,5,0,82.35,3,1193506
Kusal Mendis,c Sabbir Rahman b Soumya Sarkar,54,58,-,5,1,93.1,4,1193506
Angelo Mathews,c †Mushfiqur Rahim b Soumya Sarkar,87,90,-,8,1,96.67,5,1193506
Dasun Shanaka,c Sabbir Rahman b Shafiul Islam,30,14,-,2,2,214.29,6,1193506
Shehan Jayasuriya,c Tamim Iqbal b Shafiul Islam,13,7,-,1,1,185.71,7,1193506
PWH de Silva,not out,12,5,-,2,0,240,8,1193506
Akila Dananjaya,c Sabbir Rahman b Soumya Sarkar,0,1,-,0,0,0,9,1193506
Kasun Rajitha,not out,0,0,-,0,0,0,10,1193506
Danushka Gunathilaka,c Imad Wasim b Mohammad Amir,14,19,-,2,0,73.68,1,1198487
Sadeera Samarawickrama,b Usman Shinwari,6,14,-,1,0,42.86,2,1198487
Avishka Fernando,c Fakhar Zaman b Usman Shinwari,0,7,-,0,0,0,3,1198487
Oshada Fernando,lbw b Imad Wasim,1,14,-,0,0,7.14,4,1198487
Lahiru Thirimanne,c †Sarfaraz Ahmed b Usman Shinwari,0,3,-,0,0,0,5,1198487
Shehan Jayasuriya,c †Sarfaraz Ahmed b Usman Shinwari,96,109,-,7,1,88.07,6,1198487
Dasun Shanaka,c Fakhar Zaman b Shadab Khan,68,80,-,6,2,85,7,1198487
