,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,bowling_contribution,economy,fielding_consistency
43,72.1185,45.5833,20,9,0,42,52,1015,3,2,1,1,41.6504,38.9143,55,51,8,0,3,0.2208835341365461,107.84,249,6,291,246.0,6,0.0,0.0,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90678
44,60.1022,51.1083,20,9,0,42,52,1015,3,2,1,1,36.6574,37.9844,71,81,5,0,4,0.285140562248996,87.65,249,6,291,246.0,6,0.0,0.0,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792208
45,33.3753,47.0303,20,9,0,42,52,1015,3,2,1,1,50.5071,29.6167,27,41,2,0,5,0.108433734939759,65.85,249,6,291,246.0,6,0.0,0.0,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
46,0.0,12.2085,20,9,0,42,52,1015,3,2,1,1,12.7989,16.3609,18,26,0,0,6,0.072289156626506,69.23,249,6,291,246.0,6,0.0,0.0,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,22.8244,20.5623,20,9,0,42,52,1015,3,2,1,1,22.3991,19.6594,17,30,1,0,7,0.0682730923694779,56.67,249,6,291,246.0,6,105.123,30.9399,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,30.2562,53.84,47.0,54.0,0.1887550200803212,5.22,0.777778
48,55.6003,43.7288,20,9,0,42,52,1015,3,2,1,1,44.0018,27.4583,6,6,1,0,8,0.0240963855421686,100.0,249,6,291,246.0,6,441.988,19.0567,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,48.9939,85.9906,49.0,50.0,0.1967871485943775,5.88,0.892473
49,0.0,21.7998,20,9,0,42,52,1015,3,2,1,1,22.7182,21.7998,0,0,0,0,10,0.0,0.0,249,6,291,246.0,6,0.0,25.6873,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,25.5441,21.458,26.0,36.0,0.1044176706827309,4.33,0.0
50,0.0,4.4578,20,9,0,42,52,1015,3,2,1,1,4.4906,4.4578,0,0,0,0,10,0.0,0.0,249,6,291,246.0,6,0.0,20.1244,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,19.6409,20.5927,53.0,60.0,0.2128514056224899,5.3,0.0
51,38.8512,38.8512,20,9,0,42,52,1015,3,2,1,1,9.5933,18.8785,0,0,0,0,10,0.0,0.0,249,6,291,246.0,6,413.386,17.9419,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,31.5971,72.3546,48.0,60.0,0.1927710843373494,4.8,0.918367
52,62.9666,26.0915,14,21,1,90,63,1025,3,1,0,0,33.8978,29.9183,1,2,0,0,1,0.0041322314049586,50.0,242,10,299,242.0,7,0.0,0.0,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
53,74.1419,45.9018,14,21,1,90,63,1025,3,1,0,0,69.7446,38.0494,61,84,4,1,2,0.2520661157024793,72.62,242,10,299,242.0,7,0.0,0.0,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
54,33.3753,47.0303,14,21,1,90,63,1025,3,1,0,0,20.9323,29.6167,19,24,2,0,3,0.0785123966942148,79.17,242,10,299,242.0,7,0.0,0.0,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
55,75.4504,75.4504,14,21,1,90,63,1025,3,1,0,0,46.6586,45.2291,75,95,2,2,4,0.3099173553719008,78.95,242,10,299,242.0,7,0.0,0.0,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743902
56,24.3925,24.3925,14,21,1,90,63,1025,3,1,0,0,15.7288,20.5678,20,48,0,0,5,0.0826446280991735,41.67,242,10,299,242.0,7,0.0,0.0,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888889
57,24.5617,10.5895,14,21,1,90,63,1025,3,1,0,0,17.6516,30.6231,5,5,1,0,6,0.0206611570247933,100.0,242,10,299,242.0,7,0.0,0.0,13.0,18.0,3.0,91.0,69.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
