,runs_conceded,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season,result,weather
170,25,48,4,68.7865,26.2859,31,6,0,68,0,1007,3,1,1,1,12.0174,11.4693,3,1,0
171,46,60,1,594.115,29.2376,29,15,0,72,10,1009,3,2,0,0,60.7292,60.216,3,1,2
172,25,36,1,264.519,19.259,29,15,0,72,10,1009,3,2,0,0,46.1399,49.0315,3,1,3
173,20,30,1,354.802,30.6851,29,15,0,72,10,1009,3,2,0,0,61.955,47.8568,3,1,1
174,47,60,0,235.698,12.9094,29,15,0,72,10,1009,3,2,0,0,38.5057,34.7272,3,1,3
175,34,60,1,183.552,29.6321,29,15,0,72,10,1009,3,2,0,0,41.3512,34.1266,3,1,3
176,54,54,2,68.7865,26.2859,29,15,0,72,10,1009,3,2,0,0,22.6664,12.3516,3,1,0
177,55,54,3,594.115,29.2376,30,16,1,68,14,1008,3,2,0,0,60.7292,51.0771,3,1,2
178,31,54,1,235.698,12.9094,30,16,1,68,14,1008,3,2,0,0,38.5057,46.0288,3,1,3
179,27,36,0,354.802,30.6851,30,16,1,68,14,1008,3,2,0,0,61.955,37.8722,3,1,1
180,35,59,3,183.552,29.6321,30,16,1,68,14,1008,3,2,0,0,41.3512,20.6891,3,1,3
181,42,60,2,68.7865,26.2859,30,16,1,68,14,1008,3,2,0,0,22.6664,11.4693,3,1,0
182,22,30,1,264.519,19.259,30,16,1,68,14,1008,3,2,0,0,46.1399,48.7779,3,1,3
183,42,54,2,594.115,29.2376,27,6,1,86,14,1011,3,1,1,1,13.6319,93.0253,3,0,2
184,64,50,0,413.386,47.8475,27,6,1,86,14,1011,3,1,1,1,33.6207,72.3546,3,0,1
185,55,54,1,441.988,17.9622,27,6,1,86,14,1011,3,1,1,1,20.5594,85.9906,3,0,1
186,43,54,0,105.123,36.8008,27,6,1,86,14,1011,3,1,1,1,18.8902,53.84,3,0,0
187,27,30,1,264.519,19.259,27,6,1,86,14,1011,3,1,1,1,13.4823,51.7822,3,0,3
188,39,48,0,68.7865,26.2859,27,6,1,86,14,1011,3,1,1,1,12.0174,37.9249,3,0,0
189,40,42,3,594.115,40.9675,22,14,0,82,97,1014,3,2,0,1,35.5419,60.216,4,0,2
190,31,36,0,413.386,44.2963,22,14,0,82,97,1014,3,2,0,1,21.1885,50.6218,4,0,1
191,52,42,2,288.64,0.0,22,14,0,82,97,1014,3,2,0,1,29.426,42.5391,4,0,3
192,46,36,1,0.0,0.0,22,14,0,82,97,1014,3,2,0,1,15.0973,15.9217,4,0,0
193,34,24,1,105.123,25.8278,22,14,0,82,97,1014,3,2,0,1,10.6213,25.6538,4,0,0
194,18,12,1,122.804,2.9477,22,14,0,82,97,1014,3,2,0,1,5.5889,45.6241,4,0,0
195,29,24,0,264.519,28.3481,17,10,0,66,41,1026,3,1,0,0,9.9258,49.0315,4,1,3
196,39,54,1,413.386,44.2963,17,10,0,66,41,1026,3,1,0,0,18.3338,50.6218,4,1,1
197,41,48,1,594.115,40.9675,17,10,0,66,41,1026,3,1,0,0,18.2745,60.216,4,1,2
198,43,47,3,288.64,0.0,17,10,0,66,41,1026,3,1,0,0,7.51257,42.5391,4,1,3
199,43,54,3,105.123,25.8278,17,10,0,66,41,1026,3,1,0,0,8.29307,25.6538,4,1,0
200,31,36,2,122.804,2.9477,17,10,0,66,41,1026,3,1,0,0,11.9857,45.6241,4,1,0
201,13,12,0,354.802,35.0584,17,10,0,66,41,1026,3,1,0,0,4.8934,47.8568,4,1,1
202,4,6,0,354.802,35.0584,21,6,1,63,67,1018,3,2,0,0,16.5132,47.8568,4,1,1
203,54,60,2,594.115,40.9675,21,6,1,63,67,1018,3,2,0,0,13.9479,60.216,4,1,2
204,40,60,0,413.386,44.2963,21,6,1,63,67,1018,3,2,0,0,45.4557,50.6218,4,1,1
205,62,60,2,288.64,0.0,21,6,1,63,67,1018,3,2,0,0,13.1164,42.5391,4,1,3
206,40,60,2,122.804,2.9477,21,6,1,63,67,1018,3,2,0,0,11.5863,45.6241,4,1,0
207,33,48,0,105.123,25.8278,21,6,1,63,67,1018,3,2,0,0,16.0958,25.6538,4,1,0
208,9,6,0,0.0,0.0,21,6,1,63,67,1018,3,2,0,0,2.9336,3.1137,4,1,0
209,36,23,0,413.386,44.2963,15,12,0,78,84,1002,3,1,1,0,10.6656,50.6218,4,0,1
210,28,30,0,594.115,40.9675,15,12,0,78,84,1002,3,1,1,0,11.1901,60.216,4,0,2
211,12,12,0,288.64,0.0,15,12,0,78,84,1002,3,1,1,0,16.1432,42.5391,4,0,3
212,22,18,0,354.802,35.0584,15,12,0,78,84,1002,3,1,1,0,11.2902,47.8568,4,0,1
213,32,30,0,105.123,25.8278,15,12,0,78,84,1002,3,1,1,0,11.7465,25.6538,4,0,0
214,21,18,0,264.519,28.3481,15,12,0,78,84,1002,3,1,1,0,7.4096,49.0315,4,0,3
215,20,12,0,122.804,2.9477,15,12,0,78,84,1002,3,1,1,0,5.8671,45.6241,4,0,0
216,49,60,1,264.519,28.3481,18,20,0,66,7,1009,3,2,0,0,21.1282,49.0315,4,0,3
217,51,48,0,413.386,44.2963,18,20,0,66,7,1009,3,2,0,0,25.0355,50.6218,4,0,1
218,60,60,0,594.115,40.9675,18,20,0,66,7,1009,3,2,0,0,28.9551,60.216,4,0,2
219,26,36,2,68.0699,0.0,18,20,0,66,7,1009,3,2,0,0,7.2022,23.5731,4,0,0
220,42,60,5,105.123,25.8278,18,20,0,66,7,1009,3,2,0,0,6.76514,25.6538,4,0,0
221,33,36,0,122.804,2.9477,18,20,0,66,7,1009,3,2,0,0,13.289,45.6241,4,0,0
222,30,58,5,594.115,40.9675,17,9,0,75,22,1022,3,1,0,0,6.25726,10.9877,4,1,2
223,17,42,3,68.0699,0.0,17,9,0,75,22,1022,3,1,0,0,5.74953,6.07797,4,1,0
224,20,36,1,441.988,28.4425,17,9,0,75,22,1022,3,1,0,0,16.2307,20.2643,4,1,1
225,24,48,1,183.552,30.9946,17,9,0,75,22,1022,3,1,0,0,14.8439,15.6537,4,1,3
226,6,12,0,122.804,2.9477,17,9,0,75,22,1022,3,1,0,0,3.9197,4.1517,4,1,0
227,21,30,0,413.386,44.2963,24,11,0,81,18,1009,3,1,1,1,39.4009,70.4721,4,0,1
228,39,30,0,288.64,0.0,24,11,0,81,18,1009,3,1,1,1,23.2574,29.9514,4,0,3
229,32,36,1,183.552,30.9946,24,11,0,81,18,1009,3,1,1,1,23.071,34.103,4,0,3
230,44,49,2,105.123,25.8278,24,11,0,81,18,1009,3,1,1,1,10.3014,19.8435,4,0,0
231,37,54,0,122.804,2.9477,24,11,0,81,18,1009,3,1,1,1,45.7865,63.9574,4,0,0
232,18,30,0,264.519,28.3481,24,11,0,81,18,1009,3,1,1,1,30.7008,64.7436,4,0,3
233,45,48,1,594.115,40.9675,27,24,0,82,47,1010,3,1,1,1,48.2943,79.1412,4,0,2
234,38,42,1,413.386,44.2963,27,24,0,82,47,1010,3,1,1,1,31.8562,70.4721,4,0,1
235,18,18,0,354.802,35.0584,27,24,0,82,47,1010,3,1,1,1,34.152,48.0335,4,0,1
236,57,50,0,235.698,33.0319,27,24,0,82,47,1010,3,1,1,1,38.5658,46.3844,4,0,3
237,23,36,0,183.552,30.9946,27,24,0,82,47,1010,3,1,1,1,27.5644,34.103,4,0,3
238,12,18,0,122.804,2.9477,27,24,0,82,47,1010,3,1,1,1,9.70423,63.9574,4,0,0
239,16,18,0,264.519,28.3481,27,24,0,82,47,1010,3,1,1,1,100.306,64.7436,4,0,3
240,28,50,5,594.115,40.9675,26,25,0,84,44,1010,3,1,1,0,48.2943,79.1412,4,1,2
241,50,60,1,413.386,44.2963,26,25,0,84,44,1010,3,1,1,0,31.8562,70.4721,4,1,1
242,38,42,2,62.9346,0.0,26,25,0,84,44,1010,3,1,1,0,8.8894,20.4351,4,1,0
243,39,60,0,264.519,28.3481,26,25,0,84,44,1010,3,1,1,0,100.306,64.7436,4,1,3
244,5,6,0,122.804,2.9477,26,25,0,84,44,1010,3,1,1,0,9.70423,63.9574,4,1,0
245,38,48,1,183.552,30.9946,26,25,0,84,44,1010,3,1,1,0,27.5644,34.103,4,1,3
246,18,42,2,594.115,40.9675,27,11,2,82,27,1009,3,1,1,1,60.7292,79.1412,4,0,2
247,31,42,0,183.552,30.9946,27,11,2,82,27,1009,3,1,1,1,41.3512,34.103,4,0,3
248,17,12,0,264.519,28.3481,27,11,2,82,27,1009,3,1,1,1,46.1399,64.7436,4,0,3
