,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,result,inning,bowling_session,toss,venue,opposition,season,bowling_performance
159,48,0,51,0,27,6,0,6.38,7,0,0.504163127,0.024810887,0.016123308,0.000848595,0.0,0.078070757,0.0,0.85792973,0.002545786,1,1,1,0,0.042406932,0.03162256,3,3
160,48,0,33,0,31,3,0,4.13,1,0,0.376337619,0.043559323,0.017297187,0.000910378,0.0,0.083754798,0.0,0.920392401,0.002731135,1,1,1,0,0.035869722,0.02722914,3,0
161,36,0,33,1,20,3,1,5.5,0,0,0.398772019,0.016205921,0.017142249,0.000902224,0.0,0.083004574,0.0,0.912148094,0.002706671,1,1,1,0,0.035435014,0.016021958,3,3
162,54,0,34,3,28,2,0,3.78,0,0,0.067564182,0.025818806,0.018662375,0.00098223,0.0,0.090365184,0.0,0.993034792,0.002946691,1,1,1,0,0.00773582,0.008168944,3,0
163,30,0,29,2,12,3,0,5.8,0,0,0.329424259,0.028490303,0.017640997,0.000928474,0.0,0.085419563,0.0,0.93868672,0.002785421,1,1,1,0,0.042397443,0.011015038,3,1
164,18,1,4,4,15,0,0,1.33,0,0,0.25194195,0.018343295,0.01809661,0.000952453,0.0,0.087625688,0.0,0.962930118,0.002857359,1,1,1,0,0.029241073,0.009192678,3,4
165,30,0,38,1,15,5,1,7.6,3,0,0.506423416,0.02492212,0.026424389,0.005114398,0.0,0.057963176,0.0,0.858366443,0.002557199,1,1,1,1,0.011619827,0.043538102,3,3
166,42,0,19,1,31,2,0,2.71,2,0,0.3777837,0.0437267,0.028330168,0.005483258,0.0,0.062143594,0.0,0.920273511,0.002741629,1,1,1,1,0.030725164,0.053085525,3,1
167,18,0,19,1,8,2,0,6.33,0,0,0.331144061,0.02863904,0.028932943,0.005599924,0.0,0.063465809,0.0,0.939853972,0.002799962,1,1,1,1,0.006655883,0.035346909,3,4
168,36,0,24,2,20,2,0,4.0,1,0,0.178726614,0.028853104,0.030185043,0.005842266,0.0,0.066212353,0.0,0.980527047,0.002921133,1,1,1,1,0.006877419,0.020145206,3,1
169,36,0,24,1,14,0,0,4.0,0,0,0.253063784,0.018424973,0.029657519,0.005740165,0.0,0.065055203,0.0,0.963391024,0.002870082,1,1,1,1,0.012898438,0.046665532,3,1
170,48,0,25,4,33,2,0,3.13,0,1,0.067929954,0.025958582,0.030613981,0.005925287,0.0,0.067153248,0.0,0.994460597,0.002962643,1,1,1,1,0.011867756,0.011326482,3,0
171,60,0,46,1,30,3,0,4.6,2,0,0.504724613,0.024838518,0.024636668,0.012743104,0.0,0.061166899,0.008495403,0.857186125,0.002548621,1,2,0,0,0.0515919,0.051155916,3,0
172,36,1,25,1,19,1,0,4.17,1,0,0.252287629,0.018368463,0.027659039,0.014306399,0.0,0.068670717,0.0095376,0.962343793,0.00286128,1,2,0,0,0.044006389,0.046764281,3,1
173,30,0,20,1,20,2,0,4.0,0,0,0.329795943,0.028522448,0.026956112,0.013942816,0.0,0.066925519,0.009295211,0.937886784,0.002788563,1,2,0,0,0.057588479,0.044483905,3,1
174,60,1,47,0,27,3,0,4.7,0,0,0.226501965,0.012405725,0.027868531,0.014414757,0.0,0.069190835,0.009609838,0.969632677,0.002882951,1,2,0,0,0.037003355,0.033372277,3,0
175,60,0,34,1,29,0,0,3.4,0,0,0.178123243,0.028755697,0.028142292,0.014556358,0.0,0.069870519,0.009704239,0.97915769,0.002911272,1,2,0,0,0.040128192,0.033117267,3,0
176,54,0,54,2,20,3,0,6.0,1,0,0.067759959,0.02589362,0.028567216,0.014776146,0.0,0.070925502,0.009850764,0.993942102,0.002955229,1,2,0,0,0.022328136,0.01216727,3,2
177,54,0,55,3,30,8,0,6.11,0,1,0.50534631,0.024869113,0.025517601,0.013609387,0.000850587,0.057839895,0.011908214,0.857391381,0.00255176,1,2,0,0,0.051655449,0.043445501,3,2
178,54,1,31,1,33,1,1,3.44,1,0,0.226656631,0.012414196,0.028849201,0.01538624,0.00096164,0.065391522,0.01346296,0.969333148,0.00288492,1,2,0,0,0.037028622,0.044263137,3,0
