wickets,econ,performance
5,5.29,1.134215501
2,7.22,0.415512465
1,5.22,0.383141762
1,5.6,0.357142857
0,6,0.166666667
1,5,0.4
1,5.8,0.344827586
0,2.7,0.37037037
3,4.1,0.975609756
0,6,0.166666667
4,6,0.833333333
1,5.1,0.392156863
0,4.6,0.217391304
2,4.29,0.699300699
3,2.9,1.379310345
2,3,1
3,1.57,2.547770701
2,3.2,0.9375
2,3.63,0.826446281
0,3.7,0.27027027
1,3.3,0.606060606
2,6.11,0.490998363
2,3.67,0.817438692
5,5.6,1.071428571
0,4.1,0.243902439
0,6,0.166666667
0,6.6,0.151515152
0,3.29,0.303951368
0,4.75,0.210526316
3,3.63,1.101928375
2,3.75,0.8
0,3,0.333333333
1,3.45,0.579710145
3,2.7,1.481481481
0,3.67,0.272479564
0,7,0.142857143
0,8.88,0.112612613
2,7.5,0.4
0,5.67,0.176366843
0,8.33,0.120048019
1,4.17,0.479616307
3,3.75,1.066666667
3,2.5,1.6
1,4.25,0.470588235
1,6,0.333333333
4,1.81,2.762430939
1,4.5,0.444444444
0,6,0.166666667
0,4.67,0.214132762
0,4.33,0.230946882
0,9.16,0.109170306
0,8,0.125
0,4.5,0.222222222
0,8.1,0.12345679
3,5.2,0.769230769
1,4.29,0.466200466
1,4.9,0.408163265
2,6,0.5
0,5,0.2
0,4.4,0.227272727
3,5.45,0.733944954
1,3.6,0.555555556
2,5.56,0.539568345
0,3.4,0.294117647
1,4.5,0.444444444
1,3.83,0.522193211
0,7.43,0.134589502
0,4.33,0.230946882
1,4.9,0.408163265
1,5,0.4
3,6.1,0.655737705
0,6.71,0.149031297
0,7.75,0.129032258
4,4,1.25
0,7.8,0.128205128
1,5.14,0.389105058
0,3.67,0.272479564
2,2.92,1.02739726
3,4,1
0,8,0.125
0,8.5,0.117647059
1,6.6,0.303030303
0,7.17,0.139470014
2,6.86,0.437317784
2,4.8,0.625
0,6,0.166666667
1,6.67,0.299850075
0,6.34,0.157728707
2,5.33,0.562851782
2,6.14,0.488599349
1,5.44,0.367647059
0,8.5,0.117647059
0,5.75,0.173913043
2,8.2,0.365853659
2,3.8,0.789473684
0,7.5,0.133333333
2,3.6,0.833333333
3,6.33,0.631911532
1,5,0.4
0,5.67,0.176366843
2,4.17,0.71942446
1,2.43,0.823045267
0,2.2,0.454545455
1,2.77,0.722021661
4,4.25,1.176470588
1,2,1
0,6.67,0.149925037
1,6.56,0.304878049
0,8.25,0.121212121
0,7.29,0.137174211
3,7.8,0.512820513
0,7.83,0.127713921
0,6.33,0.157977883
1,5.5,0.363636364
0,4.5,0.222222222
0,3.5,0.285714286
1,7.29,0.274348422
0,8.75,0.114285714
0,6.6,0.151515152
0,4.5,0.222222222
3,7.07,0.565770863
0,7,0.142857143
1,4.63,0.431965443
0,8.33,0.120048019
0,4.78,0.209205021
1,4.71,0.42462845
0,9,0.111111111
0,5.67,0.176366843
1,2.5,0.8
0,3.69,0.27100271
1,9.89,0.202224469
2,5.5,0.545454545
1,7.7,0.25974026
0,8.6,0.11627907
0,7,0.142857143
0,10,0.1
0,11,0.090909091
2,4.71,0.636942675
0,6.25,0.16
0,6.43,0.155520995
0,4.2,0.238095238
0,6.67,0.149925037
4,7.55,0.662251656
0,5.75,0.173913043
0,5.67,0.176366843
1,10.2,0.196078431
1,5.5,0.363636364
2,6.11,0.490998363
2,6.44,0.465838509
3,4.8,0.833333333
1,5.67,0.352733686
1,3.83,0.522193211
2,3.56,0.842696629
1,4.44,0.45045045
3,4.71,0.8492569
1,5.33,0.375234522
0,4.4,0.227272727
2,4,0.75
2,4.86,0.617283951
0,7.75,0.129032258
0,6,0.166666667
0,9.35,0.106951872
0,4.5,0.222222222
1,8.17,0.244798042
1,6.83,0.292825769
0,3.5,0.285714286
1,4.83,0.414078675
3,6.4,0.625
0,9.5,0.105263158
3,3.6,1.111111111
0,5.57,0.179533214
3,6.22,0.643086817
1,4.91,0.407331976
2,3.5,0.857142857
0,3.5,0.285714286
0,6,0.166666667
0,5.86,0.170648464
1,5.44,0.367647059
1,4.33,0.461893764
3,3.88,1.030927835
2,5.5,0.545454545
0,5,0.2
4,3.75,1.333333333
0,5.5,0.181818182
0,7,0.142857143
1,5.89,0.339558574
3,3.7,1.081081081
2,3.13,0.958466454
0,7.33,0.136425648
0,1.5,0.666666667
3,4.38,0.913242009
0,7,0.142857143
1,2.73,0.732600733
2,4.3,0.697674419
1,8.17,0.244798042
2,4.3,0.697674419
0,8.5,0.117647059
2,4,0.75
0,4.14,0.241545894
0,5,0.2
1,5,0.4
0,10.25,0.097560976
2,5.5,0.545454545
2,3.6,0.833333333
1,4.7,0.425531915
0,3.86,0.259067358
0,2,0.5
0,5.83,0.171526587
0,5,0.2
3,3.07,1.302931596
0,4.29,0.233100233
0,8,0.125
1,5.67,0.352733686
1,4,0.5
1,4.33,0.461893764
1,7.25,0.275862069
0,6.22,0.160771704
1,5.71,0.350262697
0,9,0.111111111
2,7.1,0.422535211
0,9.3,0.107526882
1,4.9,0.408163265
2,5.14,0.583657588
0,8.29,0.120627262
0,10.5,0.095238095
0,7.75,0.129032258
0,4.43,0.225733634
2,5.9,0.508474576
1,4.5,0.444444444
1,8.6,0.23255814
0,5.4,0.185185185
0,8.5,0.117647059
1,7,0.285714286
2,6.11,0.490998363
2,3.78,0.793650794
1,3.21,0.62305296
2,7.5,0.4
1,8.4,0.238095238
1,5.4,0.37037037
1,9.75,0.205128205
0,8.4,0.119047619
