Score;Wickets;Overs;RPO;Target;Inning;Result;Opposition;Ground;Date;Match_Id;URL_Text;Batting_Session;Bowling_Session;Venue;Toss_Won;Toss;Series;Season;Player Of The Match;Match number;Hours of play (local time);Match days;ODI debut;Umpires;TV Umpire;Reserve Umpire;Match Referee;Points;Player Of The Series;Series result;LIST-A debut
242;9;50.0;4.84;;1;won;Pakistan;Dambulla;15 Jun 2010;455231;ODI # 2991;14.30-18.00;18.45-22.15;Rangiri Dambulla International Stadium;True;Sri Lanka, elected to bat first;Asia Cup;2010;Shahid Afridi;ODI No. 2991;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;15 June 2010 - daynight match (50-over match);Shahzaib HasanUmar Amin;Billy BowdenBilly Doctrove;Sanjay Hazare;Prageeth Rambukwella;Andy Pycroft;Sri Lanka 4, Pakistan 0;;;
312;4;50.0;6.24;;1;won;Bangladesh;Dambulla;18 Jun 2010;455233;ODI # 2995;14.30-18.00;18.45-22.15;Rangiri Dambulla International Stadium;True;Sri Lanka, elected to bat first;Asia Cup;2010;Tillakaratne Dilshan;ODI No. 2995;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;18 June 2010 - daynight match (50-over match);;Billy BowdenBruce Oxenford;Ahsan Raza;Rohitha Kottahachchi;Andy Pycroft;Sri Lanka 5, Bangladesh 0;;;
211;3;37.3;5.62;210;2;won;India;Dambulla;22 Jun 2010;455236;ODI # 2999;18.45-22.15;14.30-18.00;Rangiri Dambulla International Stadium;True;Sri Lanka, elected to field first;Asia CupIndia tour of Sri Lanka;2010;Farveez Maharoof;ODI No. 2999;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;22 June 2010 - daynight match (50-over match);;Billy BowdenBruce Oxenford;Sharfuddoula;Grashan Liyanage;Andy Pycroft;Sri Lanka 5, India 0;;;
187;10;44.4;4.18;269;2;lost;India;Dambulla;24 Jun 2010;455237;ODI # 3001;18.45-22.15;14.30-18.00;Rangiri Dambulla International Stadium;False;India, elected to bat first;Asia CupIndia tour of Sri Lanka;2010;Dinesh Karthik;ODI No. 3001;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;24 June 2010 - daynight match (50-over match);;Billy BowdenBilly Doctrove;Ahsan Raza;SH Sarathkumara;Andy Pycroft;;Shahid Afridi;India won the 2010 Asia Cup ;
195;7;40.5;4.77;193;2;won;New Zealand;Dambulla;13 Aug 2010;456664;ODI # 3031;18.45-22.15;14.30-18.00;Rangiri Dambulla International Stadium;False;New Zealand, elected to bat first;Sri Lanka Triangular SeriesNew Zealand tour of Sri Lanka;2010;Upul Tharanga;ODI No. 3031;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;13 August 2010 - daynight match (50-over match);BJ Watling;Kumar DharmasenaSimon Taufel;Tyron Wijewardene;Prageeth Rambukwella;Alan Hurst;Sri Lanka 4, New Zealand 0;;;
170;10;46.1;3.68;;1;lost;India;Dambulla;16 Aug 2010;456663;ODI # 3032;14.30-18.00;18.45-22.15;Rangiri Dambulla International Stadium;True;Sri Lanka, elected to bat first;Sri Lanka Triangular SeriesIndia tour of Sri Lanka;2010;Virender Sehwag;ODI No. 3032;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;16 August 2010 - daynight match (50-over match);;Asad RaufRanmore Martinesz;Tyron Wijewardene;Rohitha Kottahachchi;Alan Hurst;India 5, Sri Lanka 0;;;
203;3;43.4;4.64;;1;n/r;New Zealand;Dambulla;19 Aug 2010;473315;ODI # 3037;14.30-18.00;18.45-22.15;Rangiri Dambulla International Stadium;False;New Zealand, elected to field first;Sri Lanka Triangular SeriesNew Zealand tour of Sri Lanka;2010;;ODI No. 3037;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;19, 20 August 2010 - daynight match (50-over match);;Asad RaufTyron Wijewardene;Ranmore Martinesz;Gamini Dissanayake;Alan Hurst;Sri Lanka 2, New Zealand 2;;;
104;2;15.1;6.85;104;2;won;India;Dambulla;22 Aug 2010;456666;ODI # 3038;18.45-22.15;14.30-18.00;Rangiri Dambulla International Stadium;False;India, elected to bat first;Sri Lanka Triangular SeriesIndia tour of Sri Lanka;2010;Thisara Perera;ODI No. 3038;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;22 August 2010 - daynight match (50-over match);;Asad RaufKumar Dharmasena;Ranmore Martinesz;Lyndon Hannibal;Alan Hurst;Sri Lanka 5, India 0;;;
299;8;50.0;5.98;;1;won;India;Dambulla;28 Aug 2010;456668;ODI # 3040;14.30-18.00;18.45-22.15;Rangiri Dambulla International Stadium;True;Sri Lanka, elected to bat first;Sri Lanka Triangular SeriesIndia tour of Sri Lanka;2010;Tillakaratne Dilshan;ODI No. 3040;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;28 August 2010 - daynight match (50-over match);;Asad RaufAsoka de Silva;Tyron Wijewardene;SH Sarathkumara;Alan Hurst;;Virender Sehwag;Sri Lanka won the 2010 Sri Lanka Triangular Series ;
243;9;44.2;5.48;240;2;won;Australia;Melbourne;3 Nov 2010;446957;ODI # 3065;18.35-22.05;14.20-17.50;Melbourne Cricket Ground;False;Australia, elected to bat first;Sri Lanka tour of Australia;2010/11;Angelo Mathews;ODI No. 3065;14.20 start, First Session 14.20-17.50 Interval 17.50-18.35, Second Session 18.35-22.05;3 November 2010 - daynight match (50-over match);Xavier Doherty;Marais ErasmusPaul Reiffel;Bruce Oxenford;Bob Parry;Chris Broad;;;Sri Lanka led the 3-match series 1-0 ;
