Date,Match_Id,URL_Text,Bowling_Session,Venue,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,URL
22-Jun-10,455236,ODI # 2999,14.30-18.00,Rangiri Dambulla International Stadium,27 °c,33 °c,5 km/h from SSW,8 km/h,4.2 mm,91%,51%,1009 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
24-Jun-10,455237,ODI # 3001,14.30-18.00,Rangiri Dambulla International Stadium,27 °c,32 °c,5 km/h from SW,10 km/h,10.0 mm,95%,60%,1008 mb,Average,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
13-Aug-10,456664,ODI # 3031,14.30-18.00,Rangiri Dambulla International Stadium,27 °c,30 °c,8 km/h from WSW,12 km/h,0.6 mm,74%,29%,1010 mb,Excellent,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
16-Aug-10,456663,ODI # 3032,18.45-22.15,Rangiri Dambulla International Stadium,24 °c,27 °c,4 km/h from WSW,7 km/h,2.7 mm,95%,47%,1010 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
19-Aug-10,473315,ODI # 3037,18.45-22.15,Rangiri Dambulla International Stadium,24 °c,27 °c,2 km/h from SSW,3 km/h,4.8 mm,99%,77%,1009 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
22-Aug-10,456666,ODI # 3038,14.30-18.00,Rangiri Dambulla International Stadium,28 °c,33 °c,3 km/h from SE,5 km/h,11.3 mm,89%,66%,1010 mb,Average,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
28-Aug-10,456668,ODI # 3040,18.45-22.15,Rangiri Dambulla International Stadium,23 °c,26 °c,6 km/h from SW,11 km/h,2.6 mm,95%,45%,1008 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
3-Nov-10,446957,ODI # 3065,14.20-17.50,Melbourne Cricket Ground,13 °c,12 °c,13 km/h from SSW,17 km/h,0.2 mm,56%,44%,1022 mb,Excellent,https://www.worldweatheronline.com/cricket/melbourne-cricket-ground-weather-history/au.aspx
5-Nov-10,446958,ODI # 3066,18.35-22.05,Sydney Cricket Ground,15 °c,14 °c,15 km/h from SSE,25 km/h,0.1 mm,77%,47%,1023 mb,Excellent,https://www.worldweatheronline.com/cricket/sydney-cricket-ground-weather-history/au.aspx
7-Nov-10,446959,ODI # 3068,17.35-21.05,"Brisbane Cricket Ground, Woolloongabba, Brisbane",20 °c,20 °c,15 km/h from E,27 km/h,0.3 mm,89%,67%,1019 mb,Excellent,https://www.worldweatheronline.com/cricket/brisbane-cricket-ground-the-gabba-weather-history/au.aspx
31-Jan-11,464990,ODI # 3092,09.30-13.00,"Sinhalese Sports Club Ground, Colombo",32 °c,36 °c,9 km/h from N,10 km/h,0.2 mm,60%,19%,1011 mb,Excellent,https://www.worldweatheronline.com/cricket/sinhalese-sports-club-colombo-weather-history/lk.aspx
3-Feb-11,464991,ODI # 3096,09.30-13.00,"Sinhalese Sports Club Ground, Colombo",26 °c,29 °c,22 km/h from N,30 km/h,0.2 mm,80%,97%,1011 mb,Poor,https://www.worldweatheronline.com/cricket/sinhalese-sports-club-colombo-weather-history/lk.aspx
6-Feb-11,464992,ODI # 3099,13.45-17.15,"Sinhalese Sports Club Ground, Colombo",27 °c,31 °c,19 km/h from N,28 km/h,1.2 mm,78%,39%,1007 mb,Excellent,https://www.worldweatheronline.com/cricket/sinhalese-sports-club-colombo-weather-history/lk.aspx
20-Feb-11,433560,ODI # 3102,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",25 °c,28 °c,10 km/h from NE,17 km/h,0.0 mm,89%,24%,1013 mb,Excellent,https://www.worldweatheronline.com/cricket/mahinda-rajapaksa-international-stadium-weather-history/lk.aspx
26-Feb-11,433567,ODI # 3109,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",29 °c,32 °c,9 km/h from NW,12 km/h,0.0 mm,59%,20%,1008 mb,Excellent,
1-Mar-11,433571,ODI # 3113,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",29 °c,32 °c,21 km/h from NNE,31 km/h,4.6 mm,65%,33%,1008 mb,Good,https://www.worldweatheronline.com/cricket/rpremadasa-stadium-khettarama-colombo-weather-history/lk.aspx
5-Mar-11,433577,ODI # 3119,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26 °c,30 °c,7 km/h from S,10 km/h,0.2 mm,84%,76%,1011 mb,Excellent,
10-Mar-11,433583,ODI # 3125,18.45-22.15,Pallekele International Cricket Stadium,19 °c,19 °c,1 km/h from ENE,3 km/h,0.0 mm,92%,0%,1011 mb,Excellent,https://www.worldweatheronline.com/cricket/pallekele-cricket-stadium-kandy-weather-history/lk.aspx
