bowling_performance,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,bowling_session,toss,venue_name,opposition_name
poor,Tillakaratne Dilshan,29,9,0,59,20,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
good,Lasith Malinga,29,21,5,65,33,1008,Good,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
good,Nuwan Kulasekara,29,21,5,65,33,1008,Good,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
good,Angelo Mathews,29,21,5,65,33,1008,Good,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
good,Ajantha Mendis,29,21,5,65,33,1008,Good,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
good,Muttiah Muralitharan,29,21,5,65,33,1008,Good,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
good,Chamara Silva,29,21,5,65,33,1008,Good,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
best,Lasith Malinga,19,1,0,92,0,1011,Excellent,inning1,night,lost,Pallekele International Cricket Stadium,Zimbabwe
good,Nuwan Kulasekara,19,1,0,92,0,1011,Excellent,inning1,night,lost,Pallekele International Cricket Stadium,Zimbabwe
best,Thisara Perera,19,1,0,92,0,1011,Excellent,inning1,night,lost,Pallekele International Cricket Stadium,Zimbabwe
good,Muttiah Muralitharan,19,1,0,92,0,1011,Excellent,inning1,night,lost,Pallekele International Cricket Stadium,Zimbabwe
best,Angelo Mathews,19,1,0,92,0,1011,Excellent,inning1,night,lost,Pallekele International Cricket Stadium,Zimbabwe
good,Tillakaratne Dilshan,19,1,0,92,0,1011,Excellent,inning1,night,lost,Pallekele International Cricket Stadium,Zimbabwe
poor,Lasith Malinga,31,6,0,68,0,1007,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",New Zealand
good,Nuwan Kulasekara,31,6,0,68,0,1007,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",New Zealand
best,Angelo Mathews,31,6,0,68,0,1007,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",New Zealand
good,Ajantha Mendis,31,6,0,68,0,1007,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",New Zealand
good,Tillakaratne Dilshan,31,6,0,68,0,1007,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",New Zealand
good,Muttiah Muralitharan,31,6,0,68,0,1007,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",New Zealand
good,Lasith Malinga,29,15,0,72,10,1009,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",England
good,Tillakaratne Dilshan,29,15,0,72,10,1009,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",England
good,Angelo Mathews,29,15,0,72,10,1009,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",England
best,Rangana Herath,29,15,0,72,10,1009,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",England
good,Ajantha Mendis,29,15,0,72,10,1009,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",England
best,Muttiah Muralitharan,29,15,0,72,10,1009,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",England
best,Lasith Malinga,30,16,1,68,14,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",New Zealand
good,Rangana Herath,30,16,1,68,14,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",New Zealand
best,Angelo Mathews,30,16,1,68,14,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",New Zealand
good,Ajantha Mendis,30,16,1,68,14,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",New Zealand
good,Muttiah Muralitharan,30,16,1,68,14,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",New Zealand
good,Tillakaratne Dilshan,30,16,1,68,14,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",New Zealand
good,Lasith Malinga,27,6,1,86,14,1011,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",India
poor,Nuwan Kulasekara,27,6,1,86,14,1011,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",India
best,Thisara Perera,27,6,1,86,14,1011,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",India
best,Suraj Randiv,27,6,1,86,14,1011,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",India
best,Tillakaratne Dilshan,27,6,1,86,14,1011,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",India
best,Muttiah Muralitharan,27,6,1,86,14,1011,Excellent,inning1,night,won,"Wankhede Stadium, Mumbai",India
best,Lasith Malinga,22,14,0,82,97,1014,Excellent,inning2,day,won,"Kennington Oval, London",England
best,Nuwan Kulasekara,22,14,0,82,97,1014,Excellent,inning2,day,won,"Kennington Oval, London",England
best,Suranga Lakmal,22,14,0,82,97,1014,Excellent,inning2,day,won,"Kennington Oval, London",England
poor,Sanath Jayasuriya,22,14,0,82,97,1014,Excellent,inning2,day,won,"Kennington Oval, London",England
poor,Suraj Randiv,22,14,0,82,97,1014,Excellent,inning2,day,won,"Kennington Oval, London",England
poor,Jeevan Mendis,22,14,0,82,97,1014,Excellent,inning2,day,won,"Kennington Oval, London",England
best,Tillakaratne Dilshan,17,10,0,66,41,1026,Excellent,inning1,day,lost,"Headingley, Leeds",England
good,Nuwan Kulasekara,17,10,0,66,41,1026,Excellent,inning1,day,lost,"Headingley, Leeds",England
best,Lasith Malinga,17,10,0,66,41,1026,Excellent,inning1,day,lost,"Headingley, Leeds",England
good,Suranga Lakmal,17,10,0,66,41,1026,Excellent,inning1,day,lost,"Headingley, Leeds",England
good,Suraj Randiv,17,10,0,66,41,1026,Excellent,inning1,day,lost,"Headingley, Leeds",England
good,Jeevan Mendis,17,10,0,66,41,1026,Excellent,inning1,day,lost,"Headingley, Leeds",England
best,Angelo Mathews,17,10,0,66,41,1026,Excellent,inning1,day,lost,"Headingley, Leeds",England
good,Angelo Mathews,21,6,1,63,67,1018,Excellent,inning2,day,lost,"Lord's, London",England
best,Lasith Malinga,21,6,1,63,67,1018,Excellent,inning2,day,lost,"Lord's, London",England
good,Nuwan Kulasekara,21,6,1,63,67,1018,Excellent,inning2,day,lost,"Lord's, London",England
best,Suranga Lakmal,21,6,1,63,67,1018,Excellent,inning2,day,lost,"Lord's, London",England
good,Jeevan Mendis,21,6,1,63,67,1018,Excellent,inning2,day,lost,"Lord's, London",England
good,Suraj Randiv,21,6,1,63,67,1018,Excellent,inning2,day,lost,"Lord's, London",England
poor,Thilina Kandamby,21,6,1,63,67,1018,Excellent,inning2,day,lost,"Lord's, London",England
poor,Nuwan Kulasekara,15,12,0,78,84,1002,Excellent,inning1,night,lost,"Trent Bridge, Nottingham",England
best,Lasith Malinga,15,12,0,78,84,1002,Excellent,inning1,night,lost,"Trent Bridge, Nottingham",England
best,Suranga Lakmal,15,12,0,78,84,1002,Excellent,inning1,night,lost,"Trent Bridge, Nottingham",England
best,Angelo Mathews,15,12,0,78,84,1002,Excellent,inning1,night,lost,"Trent Bridge, Nottingham",England
best,Suraj Randiv,15,12,0,78,84,1002,Excellent,inning1,night,lost,"Trent Bridge, Nottingham",England
best,Tillakaratne Dilshan,15,12,0,78,84,1002,Excellent,inning1,night,lost,"Trent Bridge, Nottingham",England
poor,Jeevan Mendis,15,12,0,78,84,1002,Excellent,inning1,night,lost,"Trent Bridge, Nottingham",England
best,Tillakaratne Dilshan,18,20,0,66,7,1009,Excellent,inning2,day,lost,"Old Trafford, Manchester",England
best,Nuwan Kulasekara,18,20,0,66,7,1009,Excellent,inning2,day,lost,"Old Trafford, Manchester",England
best,Lasith Malinga,18,20,0,66,7,1009,Excellent,inning2,day,lost,"Old Trafford, Manchester",England
good,Dhammika Prasad,18,20,0,66,7,1009,Excellent,inning2,day,lost,"Old Trafford, Manchester",England
good,Suraj Randiv,18,20,0,66,7,1009,Excellent,inning2,day,lost,"Old Trafford, Manchester",England
best,Jeevan Mendis,18,20,0,66,7,1009,Excellent,inning2,day,lost,"Old Trafford, Manchester",England
good,Lasith Malinga,17,9,0,75,22,1022,Excellent,inning1,day,lost,"Grange Cricket Club, Raeburn Place, Edinburgh",Scotland
good,Dhammika Prasad,17,9,0,75,22,1022,Excellent,inning1,day,lost,"Grange Cricket Club, Raeburn Place, Edinburgh",Scotland
good,Thisara Perera,17,9,0,75,22,1022,Excellent,inning1,day,lost,"Grange Cricket Club, Raeburn Place, Edinburgh",Scotland
good,Ajantha Mendis,17,9,0,75,22,1022,Excellent,inning1,day,lost,"Grange Cricket Club, Raeburn Place, Edinburgh",Scotland
