performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
poor,9,Nuwan Kulasekara,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
good,10,Lasith Malinga,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,11,Muttiah Muralitharan,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
good,1,Upul Tharanga,17,21,0,66,31,1022,Excellent,inning1,day,won,Sydney Cricket Ground,Australia
good,2,Tillakaratne Dilshan,17,21,0,66,31,1022,Excellent,inning1,day,won,Sydney Cricket Ground,Australia
poor,3,Mahela Jayawardene,17,21,0,66,31,1022,Excellent,inning1,day,won,Sydney Cricket Ground,Australia
good,4,Kumar Sangakkara,17,21,0,66,31,1022,Excellent,inning1,day,won,Sydney Cricket Ground,Australia
good,5,Angelo Mathews,17,21,0,66,31,1022,Excellent,inning1,day,won,Sydney Cricket Ground,Australia
poor,1,Upul Tharanga,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,2,Tillakaratne Dilshan,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,3,Kumar Sangakkara,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,4,Mahela Jayawardene,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,5,Chamara Silva,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,6,Angelo Mathews,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,7,Jeevan Mendis,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,8,Suraj Randiv,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,9,Thisara Perera,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,10,Lasith Malinga,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,11,Dilhara Fernando,23,17,0,74,27,1018,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
good,1,Upul Tharanga,26,24,1,83,68,1009,Good,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,2,Tillakaratne Dilshan,26,24,1,83,68,1009,Good,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,3,Kumar Sangakkara,26,24,1,83,68,1009,Good,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
good,4,Mahela Jayawardene,26,24,1,83,68,1009,Good,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
good,1,Upul Tharanga,30,16,0,63,25,1009,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
