"balls","maidens","runs","wickets","dots","fours","sixes","econ","wides","no_balls","player_name","temp","feels","gust","wind","rain","humidity","cloud","pressure","viscosity","inning","result","bowling_session","toss","venue_name","opposition_name","season_id"
"42","1","33","2","25","4","0","4.71","0","0","Angelo Mathews","17","17","20","10","0","43","17","1014","Excellent","inning1","lost","day","won","JSCA International Stadium Complex, Ranchi","India","11"
"24","0","25","0","16","5","0","6.25","1","0","Lahiru Gamage","17","17","20","10","0","43","17","1014","Excellent","inning1","lost","day","won","JSCA International Stadium Complex, Ranchi","India","11"
"42","0","45","0","17","5","0","6.43","2","0","Shaminda Eranga","17","17","20","10","0","43","17","1014","Excellent","inning1","lost","day","won","JSCA International Stadium Complex, Ranchi","India","11"
"60","0","42","0","34","4","0","4.2","1","0","Seekkuge Prasanna","17","17","20","10","0","43","17","1014","Excellent","inning1","lost","day","won","JSCA International Stadium Complex, Ranchi","India","11"
"18","0","20","0","7","2","0","6.67","1","0","Thisara Perera","17","17","20","10","0","43","17","1014","Excellent","inning1","lost","day","won","JSCA International Stadium Complex, Ranchi","India","11"
"58","0","73","4","24","7","3","7.55","0","0","Ajantha Mendis","17","17","20","10","0","43","17","1014","Excellent","inning1","lost","day","won","JSCA International Stadium Complex, Ranchi","India","11"
"48","0","46","0","23","4","1","5.75","2","0","Tillakaratne Dilshan","17","17","20","10","0","43","17","1014","Excellent","inning1","lost","day","won","JSCA International Stadium Complex, Ranchi","India","11"
"18","1","17","0","12","3","0","5.67","0","0","Angelo Mathews","26","29","40","24","3","86","26","1008","Good","inning1","won","night","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"30","0","51","1","12","6","1","10.2","1","0","Dhammika Prasad","26","29","40","24","3","86","26","1008","Good","inning1","won","night","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"36","0","33","1","15","3","0","5.5","1","0","Tillakaratne Dilshan","26","29","40","24","3","86","26","1008","Good","inning1","won","night","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"54","0","55","2","23","3","1","6.11","1","0","Ajantha Mendis","26","29","40","24","3","86","26","1008","Good","inning1","won","night","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"54","0","58","2","26","2","4","6.44","0","0","Rangana Herath","26","29","40","24","3","86","26","1008","Good","inning1","won","night","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"55","1","44","3","32","2","1","4.8","3","1","Thisara Perera","26","29","40","24","3","86","26","1008","Good","inning1","won","night","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"36","0","34","1","12","1","1","5.67","0","0","Jeevan Mendis","26","29","40","24","3","86","26","1008","Good","inning1","won","night","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"36","0","23","1","22","2","0","3.83","2","0","Angelo Mathews","29","33","27","23","0","67","61","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"54","0","32","2","34","1","0","3.56","0","0","Tillakaratne Dilshan","29","33","27","23","0","67","61","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"54","0","40","1","25","1","0","4.44","0","0","Rangana Herath","29","33","27","23","0","67","61","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"42","1","33","3","20","1","0","4.71","1","0","Ajantha Mendis","29","33","27","23","0","67","61","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
