,batting_consistency,batting_form,batting_temp,batting_wind,batting_humidity,batting_cloud,batting_pressure,venue,opposition,season
189,75.4504,34.7628,25,6,37,34,1010,18.8181,28.4227,11
190,58.7808,33.0939,26,22,70,33,1006,24.4179,27.4652,6
191,72.1185,45.5833,20,9,42,52,1015,41.6504,38.9143,1
192,75.4504,39.7703,24,15,81,34,1006,24.8153,38.4666,12
193,62.9666,24.4964,27,3,63,56,1010,26.0712,40.7923,15
194,60.1022,31.9317,26,22,70,33,1006,23.4835,29.3352,6
195,33.1031,0.0,15,15,78,52,1016,31.5184,30.1408,14
196,38.8512,24.018,17,5,64,75,1026,19.3108,15.1969,4
197,38.8512,24.0802,26,9,88,26,1012,26.9593,38.4728,3
198,72.1185,32.2675,17,21,66,31,1022,40.9946,35.9733,3
199,55.6003,30.2481,23,12,92,100,1011,26.9486,26.0011,19
200,17.6814,0.0,25,20,61,25,1016,7.2146,7.149,11
201,50.1772,30.4913,18,16,52,14,1010,36.7933,26.9079,19
202,55.6003,30.2481,26,12,40,2,1017,37.1847,27.4572,19
203,0.0,0.0,28,1,76,78,1012,5.6652,11.5923,18
204,58.7808,27.2425,11,14,97,100,1015,24.5167,36.1303,10
205,33.3753,26.3868,30,16,63,25,1009,10.7207,10.5895,3
206,75.4504,43.6873,17,7,63,74,1025,22.6188,40.6557,10
207,60.1022,22.2231,28,9,77,30,1014,19.098,35.7069,8
208,50.1772,37.7608,28,15,70,51,1015,8.7246,18.5282,8
209,23.6093,2.80801,33,12,25,4,1010,5.44928,15.9986,5
210,38.8512,24.0802,32,15,47,0,1006,17.9073,24.6084,3
211,42.0114,32.2233,30,31,67,24,1008,14.1346,24.8272,16
212,28.3833,0.0,24,2,78,0,1011,10.0501,9.30173,5
213,19.7214,16.209,32,15,47,0,1006,0.2566,5.9602,3
214,62.9666,42.961,25,15,59,0,1016,61.4105,29.9183,17
215,53.017,36.1006,28,25,75,8,1012,24.789,32.3246,12
216,74.1419,53.739,23,9,86,21,1012,54.7206,33.9133,8
217,40.9425,35.6938,28,21,80,67,1008,21.9513,31.3904,16
218,24.5617,46.3418,32,15,47,0,1006,10.6936,22.1743,3
219,55.6003,20.3849,27,18,78,29,1006,28.2778,31.866,8
220,12.3153,4.9161,29,30,77,6,1009,4.7472,8.88497,21
221,0.0,0.0,26,9,85,69,1009,0.2566,15.2357,16
222,72.1185,27.4201,17,18,74,88,1018,28.8152,40.8657,11
223,0.0,0.0,25,13,49,27,1011,5.48867,10.6768,11
224,22.7797,36.675,18,23,61,90,1013,19.0286,18.7662,20
225,0.0,0.0,27,12,89,65,1009,11.9283,11.6659,16
226,74.1419,42.7845,28,12,72,20,1009,41.6468,32.0341,3
227,60.1022,24.9015,27,15,86,30,1009,32.6521,31.8614,11
228,72.1185,27.4201,18,27,82,2,1018,28.8152,40.8657,11
229,0.0,0.0,27,3,90,84,1010,8.9484,11.3574,14
230,50.1772,22.8585,24,1,89,53,1010,36.2459,20.7544,11
231,35.5758,0.0,35,9,44,0,1003,9.7798,4.81463,18
232,74.1419,19.8603,29,11,28,6,1009,25.5735,33.9133,5
233,72.1185,45.5833,20,11,50,6,1009,41.6504,42.9488,1
234,53.017,0.0,28,17,78,56,1008,38.4293,31.198,20
235,53.017,23.2927,29,15,78,47,1013,7.77918,33.018,8
236,35.5758,24.2078,29,11,28,6,1009,8.7246,11.1306,5
237,0.0,0.0,25,15,59,0,1016,30.6603,29.2827,17
238,24.3925,0.0,27,9,77,55,1008,28.4033,20.5678,2
239,62.9666,23.5088,24,20,76,42,1008,28.1932,24.5258,7
240,31.1971,24.7374,24,17,61,11,1013,19.6864,23.233,19
241,29.7883,29.6726,29,13,27,0,1011,13.3729,23.2514,17
242,75.4504,27.0887,16,33,81,100,1009,36.6616,40.6557,14
243,53.017,23.2927,27,16,81,36,1007,38.4293,26.5756,8
244,31.1971,0.0,23,5,94,51,1011,39.7771,23.0939,14
