batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,player_name,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,is_out,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,match_number,result,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,wickets_taken,bowling_contribution
62.9666,26.0915,14,15,0,75,74,1024,4,2,1,1,33.8978,49.9098,2,Upul Tharanga,40,37,6,0,108.11,2,0.33613445378151263,108.11,119,1,92,119,9,2985,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.1419,45.9018,14,15,0,75,74,1024,4,2,1,1,69.7446,102.045,2,Tillakaratne Dilshan,60,45,7,1,133.33,1,0.5042016806722689,133.33,119,1,92,119,9,2985,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.7808,58.7808,14,15,0,75,74,1024,4,2,1,1,19.9466,34.3766,2,Dinesh Chandimal,10,10,2,0,100.0,1,0.08403361344537816,100.0,119,1,92,119,9,2985,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.6003,43.7288,14,15,0,75,74,1024,4,2,1,1,35.9532,33.6222,2,Thisara Perera,0,0,0,0,0.0,0,0.0,0.0,119,1,92,119,9,2985,1,441.988,19.0567,12.0,18.0,0.0,85.0,70.0,1026.0,3.0,1.0,18.8779,17.7583,16.0,6.0,0.0,0.13445378151260504
22.8244,20.5623,14,15,0,75,74,1024,4,2,1,1,8.2656,19.1924,2,Suraj Randiv,0,0,0,0,0.0,0,0.0,0.0,119,1,92,119,9,2985,1,105.123,30.9399,12.0,18.0,0.0,85.0,70.0,1026.0,3.0,1.0,11.2107,21.1845,23.0,30.0,3.0,0.19327731092436976
4.77716,4.77716,14,15,0,75,74,1024,4,2,1,1,0.2566,0.2238,2,Dilhara Fernando,0,0,0,0,0.0,0,0.0,0.0,119,1,92,119,9,2985,1,58.5243,58.5243,12.0,18.0,0.0,85.0,70.0,1026.0,3.0,1.0,17.7668,16.4044,26.0,29.0,2.0,0.2184873949579832
31.4101,31.4101,14,15,0,75,74,1024,4,2,1,1,31.4101,16.4525,2,Jeevan Mendis,0,0,0,0,0.0,0,0.0,0.0,119,1,92,119,9,2985,1,122.804,122.804,12.0,18.0,0.0,85.0,70.0,1026.0,3.0,1.0,4.5233,17.01,12.0,24.0,2.0,0.10084033613445378
19.7214,19.7214,14,15,0,75,74,1024,4,2,1,1,16.2746,19.7214,2,Ajantha Mendis,0,0,0,0,0.0,0,0.0,0.0,119,1,92,119,9,2985,1,183.552,183.552,12.0,18.0,0.0,85.0,70.0,1026.0,3.0,1.0,15.2018,12.7384,21.0,36.0,2.0,0.17647058823529413
38.8512,38.8512,14,15,0,75,74,1024,4,2,1,1,29.4698,17.4876,2,Nuwan Kulasekara,0,0,0,0,0.0,0,0.0,0.0,119,1,92,119,9,2985,1,413.386,17.9419,12.0,18.0,0.0,85.0,70.0,1026.0,3.0,1.0,24.2838,29.9097,12.0,24.0,0.0,0.10084033613445378
62.9666,26.0915,22,8,0,38,3,1021,4,2,1,1,32.4928,29.9183,2,Upul Tharanga,27,38,4,1,71.05,2,0.1,71.05,270,4,290,269,6,2988,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
