total_score,total_balls,runs,balls,fours,sixes,strike_rate,match_id,batting_position,player_name,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue,opposition,season,result
195,245,5,11,0,0,45.45,456664,4,Mahela Jayawardene,60.1022,51.1083,23,5,1,92,21,1010,Excellent,2,night,0,34.1429,30.5283,2,1
195,245,36,38,4,0,94.74,456664,5,Thilan Samaraweera,33.3753,47.0303,23,5,1,92,21,1010,Excellent,2,night,0,24.9261,39.0077,2,1
195,245,0,1,0,0,0.0,456664,6,Angelo Mathews,75.4504,25.5084,23,5,1,92,21,1010,Excellent,2,night,0,28.2105,28.4227,2,1
195,245,7,3,0,1,233.33,456664,7,Nuwan Kulasekara,38.8512,24.0802,23,5,1,92,21,1010,Excellent,2,night,0,23.6153,24.6084,2,1
195,245,2,3,0,0,66.67,456664,8,Rangana Herath,19.8964,11.1762,23,5,1,92,21,1010,Excellent,2,night,0,32.5381,17.7086,2,1
195,245,9,9,1,0,100.0,456664,9,Chamara Kapugedera,24.3925,27.5998,23,5,1,92,21,1010,Excellent,2,night,0,28.4033,20.849,2,1
170,277,0,1,0,0,0.0,456663,1,Upul Tharanga,62.9666,26.0915,27,2,3,82,37,1010,Good,1,day,1,26.0712,29.9183,2,0
170,277,45,62,5,0,72.58,456663,2,Tillakaratne Dilshan,74.1419,45.9018,27,2,3,82,37,1010,Good,1,day,1,39.453,38.0494,2,0
170,277,2,12,0,0,16.67,456663,3,Kumar Sangakkara,72.1185,45.5833,27,2,3,82,37,1010,Good,1,day,1,30.046,38.9143,2,0
170,277,4,11,0,0,36.36,456663,4,Mahela Jayawardene,60.1022,51.1083,27,2,3,82,37,1010,Good,1,day,1,34.1429,37.9844,2,0
170,277,7,23,1,0,30.43,456663,5,Thilan Samaraweera,33.3753,47.0303,27,2,3,82,37,1010,Good,1,day,1,24.9261,29.6167,2,0
170,277,15,26,2,0,57.69,456663,6,Angelo Mathews,75.4504,25.5084,27,2,3,82,37,1010,Good,1,day,1,28.2105,45.2291,2,0
170,277,10,28,0,0,35.71,456663,7,Chamara Kapugedera,24.3925,27.5998,27,2,3,82,37,1010,Good,1,day,1,28.4033,20.5678,2,0
170,277,43,61,4,0,70.49,456663,8,Suraj Randiv,22.8244,20.5623,27,2,3,82,37,1010,Good,1,day,1,24.8113,19.6594,2,0
170,277,22,30,3,0,73.33,456663,9,Nuwan Kulasekara,38.8512,24.0802,27,2,3,82,37,1010,Good,1,day,1,23.6153,18.8785,2,0
170,277,5,12,1,0,41.67,456663,10,Lasith Malinga,35.5758,16.7592,27,2,3,82,37,1010,Good,1,day,1,20.3233,22.6286,2,0
170,277,6,11,0,0,54.55,456663,11,Dilhara Fernando,4.77716,6.00708,27,2,3,82,37,1010,Good,1,day,1,11.2477,7.15613,2,0
203,262,12,23,2,0,52.17,473315,1,Upul Tharanga,62.9666,26.0915,26,4,4,91,37,1010,Good,1,day,0,26.0712,24.1167,2,0
203,262,44,52,8,0,84.62,473315,2,Tillakaratne Dilshan,74.1419,45.9018,26,4,4,91,37,1010,Good,1,day,0,39.453,40.629,2,0
203,262,40,59,4,0,67.8,473315,3,Kumar Sangakkara,72.1185,45.5833,26,4,4,91,37,1010,Good,1,day,0,30.046,40.8657,2,0
203,262,59,72,4,1,81.94,473315,4,Mahela Jayawardene,60.1022,51.1083,26,4,4,91,37,1010,Good,1,day,0,34.1429,30.5283,2,0
203,262,41,57,4,1,71.93,473315,5,Chamara Silva,24.5617,10.5895,26,4,4,91,37,1010,Good,1,day,0,45.1918,22.1743,2,0
104,91,33,35,6,0,94.29,456666,1,Mahela Jayawardene,60.1022,51.1083,24,2,14,98,41,1010,Average,2,night,0,34.1429,37.9844,2,1
104,91,35,23,8,0,152.17,456666,2,Tillakaratne Dilshan,74.1419,45.9018,24,2,14,98,41,1010,Average,2,night,0,39.453,38.0494,2,1
104,91,12,19,2,0,63.16,456666,3,Upul Tharanga,62.9666,26.0915,24,2,14,98,41,1010,Average,2,night,0,26.0712,29.9183,2,1
104,91,13,15,2,0,86.67,456666,4,Kumar Sangakkara,72.1185,45.5833,24,2,14,98,41,1010,Average,2,night,0,30.046,38.9143,2,1
299,300,39,67,5,0,58.21,456668,1,Mahela Jayawardene,60.1022,51.1083,27,9,2,77,55,1008,Excellent,1,day,1,34.1429,37.9844,2,1
299,300,110,115,12,1,95.65,456668,2,Tillakaratne Dilshan,74.1419,45.9018,27,9,2,77,55,1008,Excellent,1,day,1,39.453,38.0494,2,1
299,300,6,9,1,0,66.67,456668,3,Upul Tharanga,62.9666,26.0915,27,9,2,77,55,1008,Excellent,1,day,1,26.0712,29.9183,2,1
299,300,71,62,7,1,114.52,456668,4,Kumar Sangakkara,72.1185,45.5833,27,9,2,77,55,1008,Excellent,1,day,1,30.046,38.9143,2,1
299,300,12,10,2,0,120.0,456668,5,Chamara Kapugedera,24.3925,27.5998,27,9,2,77,55,1008,Excellent,1,day,1,28.4033,20.5678,2,1
299,300,1,4,0,0,25.0,456668,6,Angelo Mathews,75.4504,25.5084,27,9,2,77,55,1008,Excellent,1,day,1,28.2105,45.2291,2,1
299,300,26,21,2,0,123.81,456668,7,Chamara Silva,24.5617,10.5895,27,9,2,77,55,1008,Excellent,1,day,1,45.1918,30.6231,2,1
299,300,6,8,0,0,75.0,456668,8,Thisara Perera,55.6003,43.7288,27,9,2,77,55,1008,Excellent,1,day,1,26.9486,27.4583,2,1
299,300,4,4,1,0,100.0,456668,9,Suraj Randiv,22.8244,20.5623,27,9,2,77,55,1008,Excellent,1,day,1,24.8113,19.6594,2,1
299,300,0,0,0,0,0.0,456668,10,Nuwan Kulasekara,38.8512,24.0802,27,9,2,77,55,1008,Excellent,1,day,1,23.6153,18.8785,2,1
243,266,3,18,0,0,16.67,446957,1,Upul Tharanga,62.9666,27.6969,9,7,0,80,23,1023,Excellent,2,night,0,3.66634,24.5258,3,1
243,266,7,6,1,0,116.67,446957,2,Tillakaratne Dilshan,74.1419,42.7845,9,7,0,80,23,1023,Excellent,2,night,0,52.2736,32.0341,3,1
243,266,49,46,6,0,106.52,446957,3,Kumar Sangakkara,72.1185,32.2675,9,7,0,80,23,1023,Excellent,2,night,0,66.5834,35.9733,3,1
243,266,19,27,2,0,70.37,446957,4,Mahela Jayawardene,60.1022,31.8842,9,7,0,80,23,1023,Excellent,2,night,0,16.0457,31.1885,3,1
243,266,4,8,0,0,50.0,446957,5,Chamara Silva,24.5617,46.3418,9,7,0,80,23,1023,Excellent,2,night,0,9.6426,17.7695,3,1
243,266,77,84,8,1,91.67,446957,6,Angelo Mathews,75.4504,25.5084,9,7,0,80,23,1023,Excellent,2,night,0,35.4564,28.3293,3,1
243,266,0,4,0,0,0.0,446957,7,Thisara Perera,55.6003,20.5994,9,7,0,80,23,1023,Excellent,2,night,0,8.32438,27.0232,3,1
243,266,10,21,0,0,47.62,446957,8,Suraj Randiv,22.8244,21.2227,9,7,0,80,23,1023,Excellent,2,night,0,12.0372,19.4488,3,1
243,266,0,2,0,0,0.0,446957,9,Nuwan Kulasekara,38.8512,24.0802,9,7,0,80,23,1023,Excellent,2,night,0,9.9574,28.3739,3,1
243,266,56,48,6,2,116.67,446957,10,Lasith Malinga,35.5758,16.7592,9,7,0,80,23,1023,Excellent,2,night,0,26.1408,14.2842,3,1
243,266,4,2,1,0,200.0,446957,11,Muttiah Muralitharan,0.0,12.3618,9,7,0,80,23,1023,Excellent,2,night,0,32.2926,32.1614,3,1
213,247,86,112,6,0,76.79,446958,1,Upul Tharanga,62.9666,27.6969,17,21,0,66,31,1022,Excellent,1,day,1,53.5852,24.5258,3,1
213,247,47,57,5,0,82.46,446958,2,Tillakaratne Dilshan,74.1419,42.7845,17,21,0,66,31,1022,Excellent,1,day,1,32.6855,32.0341,3,1
213,247,5,15,0,0,33.33,446958,3,Mahela Jayawardene,60.1022,31.8842,17,21,0,66,31,1022,Excellent,1,day,1,24.7687,31.1885,3,1
213,247,45,52,4,0,86.54,446958,4,Kumar Sangakkara,72.1185,32.2675,17,21,0,66,31,1022,Excellent,1,day,1,40.9946,35.9733,3,1
213,247,17,11,2,0,154.55,446958,5,Angelo Mathews,75.4504,25.5084,17,21,0,66,31,1022,Excellent,1,day,1,33.4983,28.3293,3,1
115,192,28,53,3,0,52.83,446959,1,Upul Tharanga,62.9666,27.6969,23,17,0,74,27,1018,Excellent,1,day,1,28.1932,24.5258,3,0
115,192,1,4,0,0,25.0,446959,2,Tillakaratne Dilshan,74.1419,42.7845,23,17,0,74,27,1018,Excellent,1,day,1,24.2838,32.0341,3,0
115,192,0,4,0,0,0.0,446959,3,Kumar Sangakkara,72.1185,32.2675,23,17,0,74,27,1018,Excellent,1,day,1,16.2491,35.9733,3,0
115,192,0,3,0,0,0.0,446959,4,Mahela Jayawardene,60.1022,31.8842,23,17,0,74,27,1018,Excellent,1,day,1,16.5141,31.1885,3,0
115,192,33,72,2,0,45.83,446959,5,Chamara Silva,24.5617,46.3418,23,17,0,74,27,1018,Excellent,1,day,1,22.3239,17.7695,3,0
115,192,9,16,0,0,56.25,446959,6,Angelo Mathews,75.4504,25.5084,23,17,0,74,27,1018,Excellent,1,day,1,24.2337,28.3293,3,0
115,192,5,11,0,0,45.45,446959,7,Jeevan Mendis,31.4101,32.5699,23,17,0,74,27,1018,Excellent,1,day,1,6.76157,13.9159,3,0
115,192,7,9,1,0,77.78,446959,8,Suraj Randiv,22.8244,21.2227,23,17,0,74,27,1018,Excellent,1,day,1,15.2144,19.4488,3,0
115,192,3,7,0,0,42.86,446959,9,Thisara Perera,55.6003,20.5994,23,17,0,74,27,1018,Excellent,1,day,1,24.1351,27.0232,3,0
115,192,2,9,0,0,22.22,446959,10,Lasith Malinga,35.5758,16.7592,23,17,0,74,27,1018,Excellent,1,day,1,4.15429,14.2842,3,0
115,192,2,5,0,0,40.0,446959,11,Dilhara Fernando,4.77716,6.00708,23,17,0,74,27,1018,Excellent,1,day,1,7.2146,7.149,3,0
199,255,101,143,7,0,70.63,464991,1,Upul Tharanga,62.9666,27.6969,26,24,1,83,68,1009,Good,2,day,1,53.8172,30.0202,3,1
199,255,11,23,1,0,47.83,464991,2,Tillakaratne Dilshan,74.1419,42.7845,26,24,1,83,68,1009,Good,2,day,1,21.9345,30.6374,3,1
199,255,20,43,1,0,46.51,464991,3,Kumar Sangakkara,72.1185,32.2675,26,24,1,83,68,1009,Good,2,day,1,32.1778,40.6538,3,1
199,255,48,46,5,0,104.35,464991,4,Mahela Jayawardene,60.1022,31.8842,26,24,1,83,68,1009,Good,2,day,1,55.6898,35.7069,3,1
277,300,39,52,5,0,75.0,464992,1,Upul Tharanga,62.9666,27.6969,30,16,0,63,25,1009,Excellent,1,day,0,53.8172,30.0202,3,1
277,300,30,28,2,1,107.14,464992,2,Tillakaratne Dilshan,74.1419,42.7845,30,16,0,63,25,1009,Excellent,1,day,0,21.9345,30.6374,3,1
