runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
0,1,0,0,3,58.7808,12.9841,33,18,0,51,0,1010,3,1,0,1,20.6743,27.4652,17
0,2,0,0,5,40.9425,32.8603,33,18,0,51,0,1010,3,1,0,1,16.3043,23.2475,17
0,3,0,0,3,53.017,34.819,19,4,0,17,94,1018,3,2,0,1,0.2566,30.3221,17
0,11,0,0,11,12.3153,7.4543,25,15,0,59,0,1016,3,1,0,0,0.2566,0.4476,17
0,4,0,0,3,42.0114,23.417,29,11,0,36,0,1012,3,2,0,1,27.9934,24.8272,17
0,1,0,0,8,0,17.414,30,10,0,32,0,1012,3,2,0,0,10.1392,23.7148,17
0,5,0,0,11,12.3153,7.4543,30,10,0,32,0,1012,3,2,0,0,0.2566,0.6714,17
0,8,0,0,6,0,0,28,1,3,76,78,1012,2,1,0,1,9.97299,9.34978,18
0,1,0,0,3,42.0114,21.2279,27,3,2,79,69,1010,3,1,0,1,24.6787,26.2645,18
0,2,0,0,10,0,0,26,12,0,70,6,1009,3,2,0,1,0.2566,12.7186,18
0,1,0,0,2,42.0114,21.2279,33,12,0,55,0,1005,3,2,1,0,2.8925,34.154,18
0,3,0,0,4,31.1971,0,33,12,0,55,0,1005,3,2,1,0,0.2566,15.6412,18
0,2,0,0,1,42.0114,21.2279,35,9,0,44,0,1003,3,2,1,0,6.11829,8.4566,18
0,2,0,0,8,33.1031,0,35,9,0,44,0,1003,3,2,1,0,0.2566,0.2238,18
0,1,0,0,2,62.9666,26.4254,23,12,1,92,100,1011,3,2,0,1,26.0712,32.4694,19
0,1,0,0,3,42.0114,14.2087,22,3,6,91,40,1013,2,1,1,0,17.257,26.5509,19
0,1,0,0,5,55.6003,30.2481,22,3,6,91,40,1013,2,1,1,0,32.0968,26.0011,19
0,2,0,0,10,0,3.9093,22,3,6,91,40,1013,2,1,1,0,0.5132,0.2238,19
0,4,0,0,8,24.9177,0,18,16,0,52,14,1010,3,2,1,0,13.0765,10.5823,19
0,0,0,0,4,42.0114,14.2087,26,12,0,40,2,1017,3,2,0,1,0.2566,10.924,19
0,1,0,0,9,35.5758,10.8469,26,12,0,40,2,1017,3,2,0,1,0.2566,13.3835,19
0,1,0,0,10,9.12361,8.19506,26,12,0,40,2,1017,3,2,0,1,0.2566,9.11827,19
0,3,0,0,11,12.3153,0,26,12,0,40,2,1017,3,2,0,1,0.2566,14.6116,19
0,0,0,0,8,22.8727,20.1611,30,13,0,29,5,1012,3,1,0,0,0.2566,17.6027,19
0,1,0,0,9,0,0,27,6,0,41,17,1016,3,2,0,1,0.2566,0.4476,19
0,9,0,0,7,22.7797,0,22,13,1,86,64,1019,3,2,0,1,0.2566,30.4284,19
0,4,0,0,3,0,0,24,17,0,61,11,1013,3,1,0,0,0.2566,20.3058,19
0,1,0,0,5,0,0,24,17,0,61,11,1013,3,1,0,0,0.2566,11.8834,19
0,2,0,0,10,35.5758,10.8469,24,17,0,61,11,1013,3,1,0,0,0.2566,11.1306,19
0,9,0,0,11,0,0,24,17,0,61,11,1013,3,1,0,0,0.2566,0.4476,19
0,0,0,0,11,35.5758,10.8469,27,9,0,52,3,1012,3,1,0,1,0.2566,11.1306,19
0,1,0,0,4,55.6003,31.0477,15,5,1,65,34,1018,3,1,0,0,6.72327,8.87793,20
0,1,0,0,4,42.0114,25.1647,19,17,0,73,36,1019,3,1,0,0,17.0784,10.924,20
0,9,0,0,6,75.4504,0,19,17,0,73,36,1019,3,1,0,0,17.3307,28.4227,20
0,3,0,0,9,22.7797,36.675,19,17,0,73,36,1019,3,1,0,0,6.56751,0.2238,20
0,2,0,0,5,75.4504,0,15,14,0,83,100,1003,3,1,0,0,17.3307,25.0865,20
0,4,0,0,6,31.1971,26.0701,15,14,0,83,100,1003,3,1,0,0,3.99915,9.95172,20
0,4,0,0,11,12.3153,17.6595,15,14,0,83,100,1003,3,1,0,0,8.21771,0.2238,20
0,7,0,0,11,12.3153,17.6595,18,23,0,61,90,1013,3,2,0,1,4.88878,0.2238,20
0,1,0,0,6,31.4101,0,16,18,0,57,24,1018,3,1,0,1,16.9387,27.5218,20
0,1,0,0,1,26.6919,0,19,14,0,67,2,1026,3,1,0,0,13.4156,0.2238,20
0,0,0,0,10,12.3153,17.6595,28,17,0,78,56,1008,3,1,0,1,7.18013,0.6714,20
0,1,0,0,9,22.8727,22.4626,29,16,0,77,22,1009,3,1,0,1,22.8542,14.6339,20
0,0,0,0,10,0,0.4476,29,16,0,77,22,1009,3,1,0,1,0.2566,0.2238,20
0,7,0,0,3,28.35,35.7682,29,30,0,77,6,1009,3,2,1,0,6.53039,6.36638,21
0,3,0,0,5,53.017,35.9438,29,30,0,77,6,1009,3,2,1,0,14.4936,32.3246,21
0,0,0,0,11,12.3153,4.9161,29,30,0,77,6,1009,3,2,1,0,4.7472,8.88497,21
0,1,0,0,9,9.12361,0,30,31,0,67,9,1008,3,1,0,1,0.2566,0.2238,21
1,11,0,0,6,0,12.2085,30,5,0,35,0,1012,3,1,0,1,12.7989,16.3609,1
1,4,0,0,10,0,4.4578,30,5,0,35,0,1012,3,1,0,1,4.4906,4.4578,1
1,2,0,0,1,62.9666,26.0915,14,21,1,90,63,1025,3,1,0,0,33.8978,29.9183,2
1,2,0,0,9,22.8244,20.5623,14,21,1,90,63,1025,3,1,0,0,8.2656,19.6594,2
1,3,0,0,8,21.6281,0,27,3,5,88,48,1010,2,1,0,1,11.0947,5.55642,2
1,1,0,0,11,0,0,27,3,5,88,48,1010,2,1,0,1,12.4274,8.4566,2
1,4,0,0,6,75.4504,0,27,9,2,77,55,1008,3,1,0,1,28.2105,45.2291,2
1,4,0,0,2,74.1419,42.7845,23,17,0,74,27,1018,3,1,0,1,24.2838,32.0341,3
1,4,0,0,5,33.3753,26.3868,26,3,0,82,12,1011,3,2,1,0,34.4747,12.0704,3
1,6,0,0,8,38.8512,24.0802,32,15,0,47,0,1006,3,1,0,1,17.9073,24.6084,3
1,3,0,0,4,60.1022,31.8842,27,6,1,86,14,1011,3,2,1,0,32.6521,30.5283,3
1,5,0,0,6,24.3925,27.5998,30,15,0,61,0,1008,3,1,0,1,3.7356,20.5678,3
1,2,0,0,1,74.1419,35.8553,17,17,2,92,98,1015,3,2,0,1,24.584,34.9702,4
1,21,0,0,6,75.4504,41.961,21,6,0,66,39,1017,3,2,0,0,22.6188,40.6557,4
1,3,0,0,11,23.6093,0,17,20,1,66,78,1002,3,1,0,0,13.2751,14.8703,4
1,4,0,0,5,58.7808,0,28,26,0,79,26,1010,3,1,0,1,21.3394,34.9796,4
1,3,0,0,7,31.4101,9.25055,27,23,0,80,47,1010,3,1,0,0,11.2235,13.9159,4
1,1,0,0,10,35.5758,24.4585,27,23,0,80,47,1010,3,1,0,0,11.5921,14.2842,4
1,6,0,0,8,13.5961,0,29,17,3,72,25,1007,2,1,0,1,9.65222,5.57108,4
1,6,0,0,5,24.5617,18.1521,27,22,0,61,15,1013,3,1,0,1,3.23277,19.7047,5
