economy,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season
5.6,60,1,354.802,30.6851,29,9,0,59,20,1008,3,2,0,0,61.955,73.4666,3
3.5,60,1,68.7865,26.2859,29,9,0,59,20,1008,3,2,0,0,22.6664,26.3519,3
4.6,60,2,235.698,12.9094,29,9,0,59,20,1008,3,2,0,0,38.5057,28.766,3
10.0,6,0,264.519,19.259,29,9,0,59,20,1008,3,2,0,0,46.1399,50.4942,3
4.96,46,6,594.115,29.2376,29,21,5,65,33,1008,2,2,0,0,60.7292,5.2575,3
2.0,54,1,413.386,47.8475,29,21,5,65,33,1008,2,2,0,0,33.4576,16.2522,3
2.86,42,1,354.802,30.6851,29,21,5,65,33,1008,2,2,0,0,61.955,13.5902,3
2.56,54,0,183.552,29.6321,29,21,5,65,33,1008,2,2,0,0,41.3512,16.9847,3
3.0,48,1,68.7865,26.2859,29,21,5,65,33,1008,2,2,0,0,22.6664,15.6537,3
4.0,18,0,0.0,0.0,29,21,5,65,33,1008,2,2,0,0,6.1577,6.5082,3
6.38,48,0,594.115,29.2376,19,1,0,92,0,1011,3,1,1,0,49.9731,37.2646,3
4.13,48,0,413.386,47.8475,19,1,0,92,0,1011,3,1,1,0,39.4009,29.9097,3
5.5,36,1,441.988,17.9622,19,1,0,92,0,1011,3,1,1,0,39.2752,17.7583,3
3.78,54,3,68.7865,26.2859,19,1,0,92,0,1011,3,1,1,0,7.87577,8.31673,3
5.8,30,2,354.802,30.6851,19,1,0,92,0,1011,3,1,1,0,45.6636,11.8636,3
1.33,18,4,264.519,19.259,19,1,0,92,0,1011,3,1,1,0,30.7008,9.65158,3
7.6,30,1,594.115,29.2376,31,6,0,68,0,1007,3,1,1,1,13.6319,51.0771,3
2.71,42,1,413.386,47.8475,31,6,0,68,0,1007,3,1,1,1,33.6207,58.0883,3
6.33,18,1,354.802,30.6851,31,6,0,68,0,1007,3,1,1,1,7.1314,37.8722,3
4.0,36,2,183.552,29.6321,31,6,0,68,0,1007,3,1,1,1,7.0631,20.6891,3
4.0,36,1,264.519,19.259,31,6,0,68,0,1007,3,1,1,1,13.4823,48.7779,3
3.13,48,4,68.7865,26.2859,31,6,0,68,0,1007,3,1,1,1,12.0174,11.4693,3
4.6,60,1,594.115,29.2376,29,15,0,72,10,1009,3,2,0,0,60.7292,60.216,3
4.17,36,1,264.519,19.259,29,15,0,72,10,1009,3,2,0,0,46.1399,49.0315,3
4.0,30,1,354.802,30.6851,29,15,0,72,10,1009,3,2,0,0,61.955,47.8568,3
4.7,60,0,235.698,12.9094,29,15,0,72,10,1009,3,2,0,0,38.5057,34.7272,3
3.4,60,1,183.552,29.6321,29,15,0,72,10,1009,3,2,0,0,41.3512,34.1266,3
6.0,54,2,68.7865,26.2859,29,15,0,72,10,1009,3,2,0,0,22.6664,12.3516,3
6.11,54,3,594.115,29.2376,30,16,1,68,14,1008,3,2,0,0,60.7292,51.0771,3
3.44,54,1,235.698,12.9094,30,16,1,68,14,1008,3,2,0,0,38.5057,46.0288,3
4.5,36,0,354.802,30.6851,30,16,1,68,14,1008,3,2,0,0,61.955,37.8722,3
3.56,59,3,183.552,29.6321,30,16,1,68,14,1008,3,2,0,0,41.3512,20.6891,3
4.2,60,2,68.7865,26.2859,30,16,1,68,14,1008,3,2,0,0,22.6664,11.4693,3
4.4,30,1,264.519,19.259,30,16,1,68,14,1008,3,2,0,0,46.1399,48.7779,3
4.67,54,2,594.115,29.2376,27,6,1,86,14,1011,3,1,1,1,13.6319,93.0253,3
7.68,50,0,413.386,47.8475,27,6,1,86,14,1011,3,1,1,1,33.6207,72.3546,3
6.11,54,1,441.988,17.9622,27,6,1,86,14,1011,3,1,1,1,20.5594,85.9906,3
4.78,54,0,105.123,36.8008,27,6,1,86,14,1011,3,1,1,1,18.8902,53.84,3
5.4,30,1,264.519,19.259,27,6,1,86,14,1011,3,1,1,1,13.4823,51.7822,3
4.88,48,0,68.7865,26.2859,27,6,1,86,14,1011,3,1,1,1,12.0174,37.9249,3
5.71,42,3,594.115,40.9675,22,14,0,82,97,1014,3,2,0,1,35.5419,60.216,4
5.17,36,0,413.386,44.2963,22,14,0,82,97,1014,3,2,0,1,21.1885,50.6218,4
7.43,42,2,288.64,0.0,22,14,0,82,97,1014,3,2,0,1,29.426,42.5391,4
7.67,36,1,0.0,0.0,22,14,0,82,97,1014,3,2,0,1,15.0973,15.9217,4
8.5,24,1,105.123,25.8278,22,14,0,82,97,1014,3,2,0,1,10.6213,25.6538,4
9.0,12,1,122.804,2.9477,22,14,0,82,97,1014,3,2,0,1,5.5889,45.6241,4
7.25,24,0,264.519,28.3481,17,10,0,66,41,1026,3,1,0,0,9.9258,49.0315,4
4.33,54,1,413.386,44.2963,17,10,0,66,41,1026,3,1,0,0,18.3338,50.6218,4
5.13,48,1,594.115,40.9675,17,10,0,66,41,1026,3,1,0,0,18.2745,60.216,4
5.49,47,3,288.64,0.0,17,10,0,66,41,1026,3,1,0,0,7.51257,42.5391,4
4.78,54,3,105.123,25.8278,17,10,0,66,41,1026,3,1,0,0,8.29307,25.6538,4
5.17,36,2,122.804,2.9477,17,10,0,66,41,1026,3,1,0,0,11.9857,45.6241,4
6.5,12,0,354.802,35.0584,17,10,0,66,41,1026,3,1,0,0,4.8934,47.8568,4
4.0,6,0,354.802,35.0584,21,6,1,63,67,1018,3,2,0,0,16.5132,47.8568,4
5.4,60,2,594.115,40.9675,21,6,1,63,67,1018,3,2,0,0,13.9479,60.216,4
4.0,60,0,413.386,44.2963,21,6,1,63,67,1018,3,2,0,0,45.4557,50.6218,4
6.2,60,2,288.64,0.0,21,6,1,63,67,1018,3,2,0,0,13.1164,42.5391,4
4.0,60,2,122.804,2.9477,21,6,1,63,67,1018,3,2,0,0,11.5863,45.6241,4
4.13,48,0,105.123,25.8278,21,6,1,63,67,1018,3,2,0,0,16.0958,25.6538,4
9.0,6,0,0.0,0.0,21,6,1,63,67,1018,3,2,0,0,2.9336,3.1137,4
9.39,23,0,413.386,44.2963,15,12,0,78,84,1002,3,1,1,0,10.6656,50.6218,4
5.6,30,0,594.115,40.9675,15,12,0,78,84,1002,3,1,1,0,11.1901,60.216,4
6.0,12,0,288.64,0.0,15,12,0,78,84,1002,3,1,1,0,16.1432,42.5391,4
7.33,18,0,354.802,35.0584,15,12,0,78,84,1002,3,1,1,0,11.2902,47.8568,4
6.4,30,0,105.123,25.8278,15,12,0,78,84,1002,3,1,1,0,11.7465,25.6538,4
7.0,18,0,264.519,28.3481,15,12,0,78,84,1002,3,1,1,0,7.4096,49.0315,4
10.0,12,0,122.804,2.9477,15,12,0,78,84,1002,3,1,1,0,5.8671,45.6241,4
4.9,60,1,264.519,28.3481,18,20,0,66,7,1009,3,2,0,0,21.1282,49.0315,4
6.38,48,0,413.386,44.2963,18,20,0,66,7,1009,3,2,0,0,25.0355,50.6218,4
