Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Jeevan Mendis;3;0;15;0;5.00;8;0;1;0;0;530429
Lasith Malinga;9.3;0;38;1;4.00;33;3;0;1;0;530430
Thisara Perera;10;1;36;1;3.60;40;4;0;1;0;530430
Dilhara Fernando;10;3;26;3;2.60;43;1;0;1;0;530430
Jeevan Mendis;9;0;40;2;4.44;27;1;1;0;0;530430
Seekkuge Prasanna;10;1;55;2;5.50;33;4;2;4;0;530430
Tillakaratne Dilshan;1;0;3;0;3.00;3;0;0;0;0;530430
Lasith Malinga;9;2;28;1;3.11;40;4;0;1;0;530431
Thisara Perera;7;1;32;0;4.57;27;3;0;1;0;530431
Seekkuge Prasanna;8;0;48;0;6.00;21;3;0;2;0;530431
Dilhara Fernando;9.2;0;47;2;5.04;34;5;0;3;0;530431
Angelo Mathews;5;1;11;1;2.20;22;1;0;0;0;530431
Jeevan Mendis;7;0;36;3;5.14;18;3;0;0;0;530431
Tillakaratne Dilshan;2;0;12;0;6.00;5;1;0;1;0;530431
Lasith Malinga;10;0;54;5;5.40;33;3;1;1;0;514035
Nuwan Kulasekara;10;0;50;1;5.00;31;3;1;1;0;514035
Dilhara Fernando;9;0;65;0;7.22;21;6;1;2;0;514035
Angelo Mathews;5;0;23;0;4.60;14;2;0;1;0;514035
Kosala Kulasekara;6;0;36;0;6.00;6;1;0;1;0;514035
Tillakaratne Dilshan;2;0;17;0;8.50;2;2;0;0;0;514035
Ajantha Mendis;8;0;54;1;6.75;13;5;0;1;0;514035
Lasith Malinga;10;1;38;1;3.80;35;4;0;0;0;514036
Nuwan Kulasekara;8;0;47;0;5.88;23;3;2;0;0;514036
Angelo Mathews;2;0;13;0;6.50;4;1;0;1;0;514036
Dhammika Prasad;10;0;46;3;4.60;26;3;0;0;0;514036
Tillakaratne Dilshan;8.4;0;44;0;5.08;23;4;0;0;0;514036
Kosala Kulasekara;1;0;6;0;6.00;1;0;0;0;0;514036
Rangana Herath;9;0;40;0;4.44;24;0;1;0;0;514036
Lasith Malinga;5;1;20;2;4.00;19;2;0;2;0;514037
Nuwan Kulasekara;6;0;31;0;5.17;18;3;0;0;0;514037
Dhammika Prasad;5;0;38;0;7.60;13;6;0;0;0;514037
Rangana Herath;6;0;24;0;4.00;16;0;0;0;0;514037
Tillakaratne Dilshan;5;0;22;1;4.40;11;0;0;0;0;514037
Kosala Kulasekara;3;0;21;0;7.00;8;3;0;0;0;514037
